,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
577,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-06-12,2021-07-05,2021-07-29,2021-08-12,2021-08-16,2021-08-19,68,6,5,7,0
584,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-01,2021-06-19,2021-07-21,2021-07-14,2021-08-07,2021-07-27,56,6,1,6,5
585,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-06-05,2021-06-05,2021-07-17,2021-08-13,2021-08-17,2021-08-16,72,6,5,6,5
588,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-27,2021-08-26,2021-09-02,2021-09-06,2021-09-07,49,7,1,7,1
589,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-06-05,2021-06-07,2021-07-12,2021-07-29,2021-08-02,2021-07-30,55,6,5,6,0
594,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-04-02,2021-04-02,2021-05-18,2021-05-21,2021-06-04,2021-05-22,50,4,4,4,4
595,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-27,2021-05-27,2021-07-19,2021-07-16,2021-08-05,2021-07-19,53,5,3,5,3
597,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-01,2021-06-05,2021-07-23,2021-07-20,2021-08-09,2021-07-27,56,6,1,6,5
598,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-04-19,2021-05-07,2021-05-22,2021-06-18,2021-06-22,2021-06-25,67,4,0,5,4
604,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-13,2021-05-14,2021-06-03,2021-06-15,2021-06-19,2021-06-22,40,5,3,5,4
605,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",2021-06-28,2021-07-17,2021-07-29,2021-07-29,2021-08-15,2021-06-18,10,6,0,7,5
607,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-09,2021-06-10,2021-07-22,2021-07-20,2021-08-08,2021-07-26,47,6,2,6,3
609,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Long Beach, California, United States",2021-06-16,2021-06-19,2021-08-19,2021-08-25,2021-08-29,2021-08-28,73,6,2,6,5
612,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-19,2021-08-02,2021-07-31,2021-08-02,2021-08-04,78,5,1,5,2
614,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-24,2021-04-24,2021-06-16,2021-06-21,2021-06-25,2021-06-17,54,4,5,4,5
620,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-25,2021-06-26,2021-07-30,2021-07-29,2021-07-30,2021-08-04,40,6,4,6,5
624,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-16,2021-06-22,2021-07-17,2021-08-09,2021-08-09,2021-08-11,56,6,2,6,1
625,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-06-06,2021-06-10,2021-07-28,2021-07-28,2021-08-14,2021-07-30,54,6,6,6,3
627,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-18,2021-05-24,2021-06-13,2021-06-22,2021-06-26,2021-06-28,41,5,1,5,0
629,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-10,2021-07-12,2021-09-02,2021-09-12,2021-09-14,2021-09-16,68,7,5,7,0
630,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-13,2021-06-17,2021-07-23,2021-08-02,2021-08-06,2021-08-04,52,6,6,6,3
634,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-14,2021-06-19,2021-07-17,2021-07-22,2021-07-26,2021-07-23,39,6,0,6,5
635,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-03,2021-06-05,2021-07-08,2021-07-25,2021-07-29,2021-07-28,55,6,3,6,5
636,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-09,2021-07-11,2021-08-18,2021-08-29,2021-08-31,2021-08-31,53,7,4,7,6
637,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-10,2021-06-11,2021-07-17,2021-07-15,2021-08-03,2021-07-26,46,6,3,6,4
639,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-31,2021-06-01,2021-07-17,2021-07-15,2021-08-03,2021-07-21,51,5,0,6,1
640,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-03,2021-06-16,2021-07-20,2021-07-27,2021-07-27,2021-08-02,60,6,3,6,2
641,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-08,2021-06-10,2021-07-12,2021-07-20,2021-07-24,2021-07-24,46,6,1,6,3
642,"Dallas, Texas, United States","Dallas, Texas, United States","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",2021-07-23,2021-07-30,2021-09-12,2021-08-15,2021-09-29,2021-07-22,1,7,4,7,4
644,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-09,2021-06-12,2021-07-23,2021-07-20,2021-08-09,2021-07-28,49,6,2,6,5
645,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-10,2021-06-16,2021-07-16,2021-08-06,2021-08-06,2021-08-09,60,6,3,6,2
650,"Ningbo, Zhejiang Sheng, China","Zhoushan, Zhejiang Sheng, China","Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia",2021-08-20,2021-08-27,2021-09-07,2021-09-08,2021-09-24,2021-07-16,35,8,4,8,4
651,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-10,2021-07-19,2021-08-22,2021-09-02,2021-08-30,2021-08-31,52,7,5,7,0
657,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-06-16,2021-06-22,2021-07-16,2021-08-09,2021-08-13,2021-08-11,56,6,2,6,1
658,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-04,2021-06-04,2021-06-26,2021-07-13,2021-07-17,2021-07-16,42,6,4,6,4
660,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-20,2021-06-27,2021-07-14,2021-08-04,2021-08-08,2021-08-09,50,6,6,6,6
664,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-26,2021-06-07,2021-06-22,2021-07-20,2021-07-20,2021-07-26,61,5,2,6,0
665,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-21,2021-06-27,2021-07-14,2021-08-04,2021-08-08,2021-08-09,49,6,0,6,6
666,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-04,2021-04-09,2021-05-09,2021-05-19,2021-05-23,2021-05-26,52,4,6,4,4
667,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-07,2021-05-08,2021-06-06,2021-06-15,2021-06-19,2021-06-18,42,5,4,5,5
670,"Cat Lai, Tinh GJong Nai, Vietnam","Cai Mep International Terminal, , Vietnam","Los Angeles, California, United States","Los Angeles, California, United States",2021-06-24,2021-07-01,2021-07-27,2021-08-05,2021-08-09,2021-09-01,69,6,3,7,3
671,"Dallas, Texas, United States","Los Angeles, California, United States","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",2021-08-19,2021-09-21,2021-10-08,2021-08-02,2021-10-25,2021-08-09,10,8,3,9,1
673,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-24,2021-06-30,2021-08-14,2021-08-18,2021-08-20,2021-08-26,63,6,3,6,2
674,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-23,2021-06-02,2021-06-18,2021-07-07,2021-07-11,2021-07-14,52,5,6,6,2
675,"Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-23,2021-07-02,2021-07-31,2021-08-19,2021-08-23,2021-08-20,58,6,2,7,4
676,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-17,2021-07-05,2021-07-26,2021-08-03,2021-08-07,2021-08-09,53,6,3,7,0
678,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Long Beach, California, United States",2021-06-27,2021-06-30,2021-08-05,2021-08-11,2021-08-15,2021-08-12,46,6,6,6,2
679,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-02,2021-08-11,2021-09-13,1900-01-01,2021-09-21,2021-09-22,51,8,0,8,2
680,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-23,2021-06-23,2021-07-24,2021-07-29,2021-08-02,2021-08-09,47,6,2,6,2
681,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-19,2021-07-02,2021-07-27,2021-08-13,2021-08-13,2021-08-19,61,6,5,7,4
687,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-07,2021-06-13,2021-08-05,2021-08-11,2021-08-12,2021-08-17,71,6,0,6,6
695,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-23,2021-06-24,2021-07-25,2021-07-29,2021-08-02,2021-08-05,43,6,2,6,3
697,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-06-08,2021-06-12,2021-08-16,2021-08-14,2021-09-02,2021-08-19,72,6,1,6,5
698,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-16,2021-06-19,2021-08-08,2021-08-17,2021-08-17,2021-08-17,62,6,2,6,5
700,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-27,2021-08-14,2021-08-19,2021-08-23,2021-09-02,44,7,1,7,1
705,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-03,2021-07-03,2021-08-18,2021-08-16,2021-09-04,2021-08-25,53,7,5,7,5
706,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-12,2021-07-05,2021-07-27,2021-08-02,2021-08-06,2021-08-09,58,6,5,7,0
710,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-01,2021-06-01,2021-07-08,2021-07-24,2021-07-28,2021-07-28,57,6,1,6,1
711,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-27,2021-08-26,2021-09-02,2021-09-06,2021-09-03,45,7,1,7,1
712,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-27,2021-08-27,2021-09-02,2021-09-06,2021-09-02,44,7,1,7,1
718,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-26,2021-05-31,2021-06-29,2021-07-07,2021-07-11,2021-07-15,50,5,2,5,0
723,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-29,2021-07-04,2021-08-10,2021-08-16,2021-08-18,2021-08-21,53,6,1,7,6
724,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-08,2021-07-08,2021-08-19,2021-09-02,2021-09-03,2021-09-08,62,7,3,7,3
726,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-06,2021-06-13,2021-06-30,2021-07-12,2021-07-12,2021-07-15,39,6,6,6,6
730,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-20,2021-09-01,2021-09-06,2021-09-08,2021-09-09,51,7,1,7,1
731,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-23,2021-09-02,2021-09-12,2021-09-14,2021-09-15,55,7,3,7,4
732,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-21,2021-07-23,2021-09-07,2021-09-18,2021-09-21,2021-09-23,64,7,2,7,4
735,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-12,2021-07-15,2021-09-21,2021-09-22,2021-10-08,2021-09-23,73,7,0,7,3
737,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-06-30,2021-06-30,2021-07-22,2021-07-29,2021-08-02,2021-08-03,34,6,2,6,2
738,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-14,2021-07-17,2021-08-16,2021-08-20,2021-08-24,2021-08-27,44,7,2,7,5
739,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-27,2021-08-20,2021-09-10,2021-09-18,2021-09-20,2021-09-24,59,7,1,8,4
740,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-26,2021-08-25,2021-08-29,2021-08-31,2021-09-01,41,7,3,7,0
741,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-26,2021-08-25,2021-08-29,2021-08-31,2021-09-01,41,7,3,7,0
742,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-24,2021-09-02,2021-09-13,2021-09-15,2021-09-16,56,7,3,7,5
743,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-24,2021-09-05,2021-09-10,2021-09-14,2021-09-14,54,7,3,7,5
753,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-27,2021-05-28,2021-07-07,2021-07-26,2021-07-30,2021-07-30,64,5,3,5,4
756,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-23,2021-09-02,2021-09-12,2021-09-13,2021-09-15,55,7,3,7,4
758,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-16,2021-06-22,2021-07-26,2021-08-04,2021-08-08,2021-08-09,54,6,2,6,1
759,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-21,2021-09-08,2021-09-12,2021-09-14,2021-09-15,57,7,1,7,2
760,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-07-08,2021-07-17,2021-09-22,2021-07-30,2021-10-09,2021-10-01,85,7,3,7,5
761,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-23,2021-09-05,2021-09-10,2021-09-10,2021-09-13,53,7,3,7,4
762,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-11,2021-07-14,2021-08-18,2021-08-23,2021-08-24,2021-10-08,89,7,6,7,2
766,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-07-12,2021-07-13,2021-09-12,1900-01-01,2021-09-20,2021-09-22,72,7,0,7,1
767,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-21,2021-09-05,2021-09-12,2021-09-16,2021-09-17,59,7,1,7,2
772,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",2021-08-09,2021-08-22,2021-09-11,2021-08-10,2021-09-28,2021-08-04,5,8,0,8,6
774,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-08-03,2021-08-09,2021-09-19,2021-09-25,2021-09-29,2021-09-28,56,8,1,8,0
775,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",2021-07-19,2021-07-19,2021-10-03,2021-10-10,2021-10-11,2021-10-14,87,7,0,7,0
776,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-14,2021-07-14,2021-08-23,1900-01-01,2021-09-09,2021-09-01,49,7,2,7,2
785,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-10-25,2021-10-25,2022-01-02,2022-01-06,2022-01-10,2022-01-11,78,10,0,10,0
786,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-25,2021-08-09,2021-09-07,2021-09-15,2021-09-17,2021-09-22,59,7,6,8,0
792,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-21,2021-07-30,2021-08-31,2021-09-04,2021-09-08,2021-09-10,51,7,2,7,4
793,"Dallas, Texas, United States","Los Angeles, California, United States","Tokyo, Tokyo Prefecture, Japan","Tokyo, Tokyo Prefecture, Japan",2021-09-10,2021-09-23,2021-10-10,2021-10-10,2021-10-27,2021-08-10,31,9,4,9,3
795,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",2021-07-24,2021-07-29,2021-09-27,2021-10-06,2021-10-10,2021-10-22,90,7,5,7,3
797,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-11,2021-04-17,2021-05-07,2021-05-24,2021-05-28,2021-05-25,44,4,6,4,5
798,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-18,2021-04-23,2021-05-09,2021-06-01,2021-06-05,2021-06-03,46,4,6,4,4
799,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-05-09,2021-05-13,2021-05-27,2021-06-21,2021-06-25,2021-06-28,50,5,6,5,3
801,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-05-14,2021-05-14,2021-07-31,2021-08-13,2021-08-17,2021-08-18,96,5,4,5,4
805,"Zhongshan, Guangdong Sheng, China","Zhongshan, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-07-30,2021-07-30,2021-10-05,2021-10-15,2021-10-19,2021-10-22,84,7,4,7,4
807,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-06-05,2021-06-07,2021-07-12,2021-07-30,2021-08-03,2021-08-03,59,6,5,6,0
809,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-30,2021-07-30,2021-09-10,1900-01-01,2021-09-27,2021-09-21,53,7,4,7,4
810,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-06-06,2021-06-10,2021-07-28,2021-07-28,2021-08-14,2021-07-30,54,6,6,6,3
811,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-18,2021-05-20,2021-07-16,2021-07-13,2021-08-02,2021-07-21,64,5,1,5,3
812,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-05,2021-06-11,2021-08-06,2021-08-10,2021-08-14,2021-08-12,68,6,5,6,4
813,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-29,2021-05-30,2021-07-19,2021-07-16,2021-08-05,2021-07-23,55,5,5,5,6
814,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-09,2021-06-11,2021-07-22,2021-07-20,2021-07-22,2021-07-24,45,6,2,6,4
815,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-13,2021-07-20,2021-08-26,2021-09-01,2021-09-02,2021-09-03,52,7,1,7,1
816,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-04-30,2021-05-10,2021-06-04,2021-07-07,2021-07-11,2021-07-14,75,4,4,5,0
818,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-31,2021-06-01,2021-07-22,2021-07-16,2021-08-08,2021-07-26,56,5,0,6,1
820,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-03,2021-06-13,2021-07-14,2021-07-09,2021-07-31,2021-07-15,42,6,3,6,6
821,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-24,2021-06-29,2021-08-14,2021-08-18,2021-08-22,2021-08-26,63,6,3,6,1
